0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:10:59 +0530] "GET /sales/set-target HTTP/1.1" 200 63458
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:10:59 +0530] "GET /sales/js/filter-multi-select-bundle.min.js.map HTTP/1.1" 404 146
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:10:59 +0530] "GET /sales/js/chart.umd.js.map HTTP/1.1" 404 125
127.0.0.1 - - [30/Aug/2024:12:11:04 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:11:04 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:12:11:04 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:11:04 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:12:28:46 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:12:28:47 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:28:47 +0530] "GET /sales/set-target HTTP/1.1" 200 68006
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:28:47 +0530] "GET /sales/js/filter-multi-select-bundle.min.js.map HTTP/1.1" 404 146
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:28:47 +0530] "GET /sales/js/chart.umd.js.map HTTP/1.1" 404 125
127.0.0.1 - - [30/Aug/2024:12:28:49 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:28:49 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:12:28:49 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:28:49 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:12:30:43 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:12:30:43 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:30:44 +0530] "GET /sales/set-target HTTP/1.1" 200 68014
127.0.0.1 - - [30/Aug/2024:12:30:44 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:30:44 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:12:30:44 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:30:44 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:12:30:59 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:12:30:59 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:30:59 +0530] "GET /sales/set-target HTTP/1.1" 200 68016
127.0.0.1 - - [30/Aug/2024:12:31:00 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:31:00 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:12:31:00 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:31:00 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:12:32:06 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:12:32:06 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:32:06 +0530] "GET /sales/set-target HTTP/1.1" 200 68021
127.0.0.1 - - [30/Aug/2024:12:32:06 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:32:06 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [30/Aug/2024:12:32:06 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:32:06 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
127.0.0.1 - - [30/Aug/2024:12:33:00 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [30/Aug/2024:12:33:00 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [30/Aug/2024:12:33:01 +0530] "GET /sales/set-target HTTP/1.1" 200 68028
127.0.0.1 - - [30/Aug/2024:12:33:01 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
